exec_id,num_bodies,num_steps,processors_number,elapsed_time,speed_up,efficiency
100-1000,100,1000,2,0.030681,1.789683,0.894841
100-1000,100,1000,3,0.021102,2.602065,0.867355
100-1000,100,1000,4,0.021340,2.573067,0.643267
100-1000,100,1000,5,0.017317,3.170899,0.634180
100-1000,100,1000,6,0.014905,3.684000,0.614000
100-1000,100,1000,7,0.013246,4.145278,0.592183
100-1000,100,1000,8,0.016062,3.418567,0.427321
100-1000,100,1000,9,0.021127,5.197922,0.577546
100-1000,100,1000,10,0.022560,4.867750,0.486775
100-1000,100,1000,11,0.021243,5.169690,0.469972
100-1000,100,1000,12,0.019620,5.597202,0.466434
100-1000,100,1000,13,0.020793,5.281402,0.406262
100-1000,100,1000,14,0.021886,5.017842,0.358418
100-1000,100,1000,15,0.024588,4.466374,0.297758
100-1000,100,1000,16,0.029477,3.725560,0.232848
1000-300,1000,300,2,0.833676,1.880607,0.940303
1000-300,1000,300,3,0.520392,3.012760,1.004253
1000-300,1000,300,4,0.395936,3.959774,0.989944
1000-300,1000,300,5,0.327741,4.783710,0.956742
1000-300,1000,300,6,0.279125,5.616896,0.936149
1000-300,1000,300,7,0.232581,6.740940,0.962991
1000-300,1000,300,8,0.200231,7.830025,0.978753
1000-300,1000,300,9,0.374789,8.366392,0.929600
1000-300,1000,300,10,0.346448,9.050812,0.905081
1000-300,1000,300,11,0.314241,9.978422,0.907129
1000-300,1000,300,12,0.307414,10.200026,0.850002
1000-300,1000,300,13,0.257349,12.184376,0.937260
1000-300,1000,300,14,0.247903,12.648648,0.903475
1000-300,1000,300,15,0.233326,13.438874,0.895925
1000-300,1000,300,16,0.367037,8.543108,0.533944
5000-100,5000,100,2,6.625999,2.155382,1.077691
5000-100,5000,100,3,4.152538,3.439236,1.146412
5000-100,5000,100,4,3.106149,4.597834,1.149458
5000-100,5000,100,5,2.580405,5.534619,1.106924
5000-100,5000,100,6,2.139924,6.673861,1.112310
5000-100,5000,100,7,1.801189,7.928959,1.132708
5000-100,5000,100,8,1.601778,8.916068,1.114508
5000-100,5000,100,9,2.736800,10.436686,1.159632
5000-100,5000,100,10,2.476399,11.534134,1.153413
5000-100,5000,100,11,2.253434,12.675372,1.152307
5000-100,5000,100,12,2.070507,13.795228,1.149602
5000-100,5000,100,13,1.926860,14.823660,1.140282
5000-100,5000,100,14,1.811036,15.771696,1.126550
5000-100,5000,100,15,1.730197,16.508590,1.100573
5000-100,5000,100,16,1.728209,16.527582,1.032974
3000-400,3000,400,2,9.054897,1.988281,0.994141
3000-400,3000,400,3,6.090393,2.956079,0.985360
3000-400,3000,400,4,4.736051,3.801412,0.950353
3000-400,3000,400,5,3.717641,4.842771,0.968554
3000-400,3000,400,6,2.959147,6.084078,1.014013
3000-400,3000,400,7,2.545823,7.071852,1.010265
3000-400,3000,400,8,2.261415,7.961247,0.995156
3000-400,3000,400,9,3.951794,9.111650,1.012406
3000-400,3000,400,10,3.574782,10.072604,1.007260
3000-400,3000,400,11,3.283851,10.964984,0.996817
3000-400,3000,400,12,3.006096,11.978116,0.998176
3000-400,3000,400,13,2.782314,12.941518,0.995501
